id_doc,type_of_document,states,sub_domain,domain,regulation_tariff,title,order_date,notification_date,comment_date,comments_given_on
130,TR-TUP,RJ,TD,Tariff,TRF,RERC Tariff Order for (KaTPP (Units 1 and 2)) ARR & Tariff (FY 21),11/08/2020,0000-00-00,0000-00-00,0000-00-00
131,TR-TUP,RJ,TD,Tariff,TRF,"RERC Tariff Order for (GLPL (Units 1&2)) APR (FY 19), ARR & Tariff (FY 20)",25/02/2020,0000-00-00,0000-00-00,0000-00-00
132,TR-TUP,SK,TD,Tariff,TRF,"SSERC Tariff Order for (PDGoS) Provisional True-up (FY 19), APR (20), ARR & Tariff (FY 21)",16/03/2020,0000-00-00,0000-00-00,0000-00-00
133,TR-TUP,RJ,TD,Tariff,TRF,"RERC Tariff Order for (JVVNL, JdVVNL, AVVNL) ARR & Tariff (FY 20)",06/02/2020,0000-00-00,0000-00-00,0000-00-00
134,TR-TUP,RJ,TD,Tariff,TRF,"RERC (Tariff Order for (RRVPNL) Investment Plan (FY 22)), 2021",22/11/2021,0000-00-00,0000-00-00,0000-00-00
135,TR-TUP,RJ,TD,Tariff,TRF,"RERC Tariff Order for (RRVUNL) True-up (FY 19), ARR & Tariff (FY 21)",11/09/2020,0000-00-00,0000-00-00,0000-00-00
136,TR-TUP,TR,TD,Tariff,TRF,"TERC Tariff Order for (TSECL) True-up (FY 14 to FY 16), ARR (FY 17 to FY 21), Tariff (FY 21) & (TPGL) ARR (FY 17 to FY 21), Tariff (FY 21)",01/09/2020,0000-00-00,0000-00-00,0000-00-00
137,GZT-FIN,DL,OTH,Others,REG,"DERC (State Grid Code) Regulations, 2008",0000-00-00,22/04/2008,22/04/2008,0000-00-00
138,AMN,DL,OTH,Others,REG,"DERC (State Grid Code) (1st Amd) Regulations, 2008",0000-00-00,20/01/2012,0000-00-00,0000-00-00
140,MSO,UK,"GN,TD","Generation, Tariff",ORD,"UERC Tariff Order for (UJVNL) True-up petition (FY 20), APR (FY 21), AFC (FY 22)",09/02/2021,0000-00-00,0000-00-00,0000-00-00
141,TR-TUP,UK,"GN,TD","Generation, Tariff",TRF,"UERC Tariff Order for (GIPL) True-up (FY 20), APR (FY 21), ARR (FY 22)",26/04/2021,0000-00-00,0000-00-00,0000-00-00
143,TR-TUP,UP,"TD,TR","Transmission, Tariff",TRF,"UPERC Tariff Order for (UPPTCL)  True-up  (FY 17), APR (FY 18), ARR (FY 20) ",27/08/2019,0000-00-00,0000-00-00,0000-00-00
144,TR-TUP,RJ,TD,Tariff,TRF,"RERC Tariff Order for (KaTPP (Units 1 and 2)) Final Capital Cost, ARR & Tariff (FY 15 to FY 20)",12/05/2020,0000-00-00,0000-00-00,0000-00-00
145,TR-TUP,RJ,TD,Tariff,TRF,"RERC (Tariff Order for (CSCTPP (Units 5&6)) Final Capital Cost, ARR & Tariff (FY 19 to FY 22)), 2021",28/12/2021,0000-00-00,0000-00-00,0000-00-00
146,PET,UP,"DR,TD","Distribution, Tariff",TRF,"UPERC Tariff Order for (NPCL) True-up  (FY 20), ARR & Tariff (FY22) ",26/08/2021,0000-00-00,0000-00-00,0000-00-00
